Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:57:24 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:57:25 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
08:57:26 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
08:57:27 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
08:57:28 PM       0      7.07      0.00     29.29      0.00      0.00     63.64
08:57:29 PM       0      7.22      0.00     37.11      0.00      0.00     55.67
08:57:30 PM       0     11.00      0.00     36.00      0.00      0.00     53.00
08:57:31 PM       0     10.20      0.00     34.69      0.00      0.00     55.10
08:57:32 PM       0     11.00      0.00     38.00      0.00      0.00     51.00
08:57:33 PM       0      8.91      0.00     37.62      0.00      0.00     53.47
08:57:34 PM       0      7.37      0.00     35.79      0.00      0.00     56.84
08:57:35 PM       0      8.08      0.00     37.37      0.00      0.00     54.55
08:57:36 PM       0     10.31      0.00     34.02      0.00      0.00     55.67
08:57:37 PM       0      8.33      0.00     33.33      0.00      0.00     58.33
08:57:38 PM       0      6.93      0.00     29.70      0.00      0.00     63.37
08:57:39 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
08:57:40 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
08:57:41 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
08:57:42 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
08:57:43 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
08:57:44 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          0      4.79      0.00     19.02      0.00      0.00     76.19
