Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/30/2020 	_x86_64_	(48 CPU)

10:20:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:20:59 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:21:00 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:21:01 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:21:02 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:21:03 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:21:04 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:21:05 PM       0      7.00      0.00     23.00      0.00      0.00     70.00
10:21:06 PM       0     25.53      0.00     48.94      0.00      0.00     25.53
10:21:07 PM       0     23.30      0.00     46.60      0.00      0.00     30.10
10:21:08 PM       0     20.79      0.00     47.52      0.00      0.00     31.68
10:21:09 PM       0     17.78      0.00     46.67      0.00      0.00     35.56
10:21:10 PM       0     20.62      0.00     46.39      0.00      0.00     32.99
10:21:11 PM       0     22.83      0.00     42.39      0.00      0.00     34.78
10:21:12 PM       0     23.47      0.00     44.90      0.00      0.00     31.63
10:21:13 PM       0     25.00      0.00     43.00      0.00      0.00     32.00
10:21:14 PM       0     21.78      0.00     46.53      0.00      0.00     31.68
10:21:15 PM       0     21.43      0.00     45.92      0.00      0.00     32.65
10:21:16 PM       0     21.43      0.00     45.92      0.00      0.00     32.65
10:21:17 PM       0     22.64      0.00     47.17      0.00      0.00     30.19
10:21:18 PM       0     20.45      0.00     44.32      0.00      0.00     35.23
10:21:19 PM       0     25.47      0.00     44.34      0.00      0.00     30.19
10:21:20 PM       0     21.43      0.00     45.92      0.00      0.00     32.65
10:21:21 PM       0     24.56      0.00     47.37      0.00      0.00     28.07
10:21:22 PM       0     22.77      0.00     46.53      0.00      0.00     30.69
10:21:23 PM       0     20.65      0.00     44.57      0.00      0.00     34.78
10:21:24 PM       0     22.55      0.00     46.08      0.00      0.00     31.37
10:21:25 PM       0     23.00      0.00     45.00      0.00      0.00     32.00
10:21:26 PM       0     22.43      0.00     48.60      0.00      0.00     28.97
10:21:27 PM       0     22.83      0.00     42.39      0.00      0.00     34.78
10:21:28 PM       0     19.57      0.00     47.83      0.00      0.00     32.61
10:21:29 PM       0     21.43      0.00     46.94      0.00      0.00     31.63
10:21:30 PM       0     25.96      0.00     44.23      0.00      0.00     29.81
10:21:31 PM       0     24.27      0.00     44.66      0.00      0.00     31.07
10:21:32 PM       0     22.34      0.00     43.62      0.00      0.00     34.04
10:21:33 PM       0     21.57      0.00     47.06      0.00      0.00     31.37
10:21:34 PM       0     21.05      0.00     45.26      0.00      0.00     33.68
10:21:35 PM       0     14.47      0.00     43.42      0.00      0.00     42.11
10:21:36 PM       0     20.88      0.00     43.96      0.00      0.00     35.16
10:21:37 PM       0     22.77      0.00     45.54      0.00      0.00     31.68
10:21:38 PM       0     23.71      0.00     43.30      0.00      0.00     32.99
10:21:39 PM       0     22.33      0.00     46.60      0.00      0.00     31.07
10:21:40 PM       0     19.79      0.00     46.88      0.00      0.00     33.33
10:21:41 PM       0     20.62      0.00     47.42      0.00      0.00     31.96
10:21:42 PM       0     24.24      0.00     43.43      0.00      0.00     32.32
10:21:43 PM       0     22.22      0.00     48.15      0.00      0.00     29.63
10:21:44 PM       0     26.55      0.00     45.13      0.00      0.00     28.32
10:21:45 PM       0     20.45      0.00     44.32      0.00      0.00     35.23
10:21:46 PM       0     20.69      0.00     42.53      0.00      0.00     36.78
10:21:47 PM       0     21.43      0.00     45.92      0.00      0.00     32.65
10:21:48 PM       0     22.45      0.00     44.90      0.00      0.00     32.65
10:21:49 PM       0     20.62      0.00     47.42      0.00      0.00     31.96
10:21:50 PM       0     21.57      0.00     47.06      0.00      0.00     31.37
10:21:51 PM       0     24.49      0.00     42.86      0.00      0.00     32.65
10:21:52 PM       0     23.08      0.00     46.15      0.00      0.00     30.77
10:21:53 PM       0     20.00      0.00     47.37      0.00      0.00     32.63
10:21:54 PM       0     20.62      0.00     46.39      0.00      0.00     32.99
10:21:55 PM       0     21.84      0.00     41.38      0.00      0.00     36.78
10:21:56 PM       0     23.64      0.00     48.18      0.00      0.00     28.18
10:21:57 PM       0     20.00      0.00     44.44      0.00      0.00     35.56
10:21:58 PM       0     19.32      0.00     45.45      0.00      0.00     35.23
10:21:59 PM       0     21.21      0.00     46.46      0.00      0.00     32.32
10:22:00 PM       0     21.50      0.00     48.60      0.00      0.00     29.91
10:22:01 PM       0     24.77      0.00     46.79      0.00      0.00     28.44
10:22:02 PM       0     23.23      0.00     44.44      0.00      0.00     32.32
10:22:03 PM       0     22.64      0.00     48.11      0.00      0.00     29.25
10:22:04 PM       0     18.89      0.00     45.56      0.00      0.00     35.56
10:22:05 PM       0     22.33      0.00     47.57      0.00      0.00     30.10
10:22:06 PM       0     21.88      0.00     44.79      0.00      0.00     33.33
10:22:07 PM       0     18.39      0.00     44.83      0.00      0.00     36.78
10:22:08 PM       0     19.77      0.00     44.19      0.00      0.00     36.05
10:22:09 PM       0     22.12      0.00     48.08      0.00      0.00     29.81
10:22:10 PM       0     20.65      0.00     44.57      0.00      0.00     34.78
10:22:11 PM       0     23.08      0.00     46.15      0.00      0.00     30.77
10:22:12 PM       0     17.58      0.00     48.35      0.00      0.00     34.07
10:22:13 PM       0     21.28      0.00     44.68      0.00      0.00     34.04
10:22:14 PM       0     23.76      0.00     45.54      0.00      0.00     30.69
10:22:15 PM       0     23.30      0.00     46.60      0.00      0.00     30.10
10:22:16 PM       0     19.59      0.00     47.42      0.00      0.00     32.99
10:22:17 PM       0     23.42      0.00     47.75      0.00      0.00     28.83
10:22:18 PM       0     22.92      0.00     44.79      0.00      0.00     32.29
10:22:19 PM       0     20.45      0.00     43.18      0.00      0.00     36.36
