Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/30/2020 	_x86_64_	(48 CPU)

10:14:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:14:06 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:14:07 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:14:08 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:14:09 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:14:10 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:14:11 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:14:12 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:14:13 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:14:14 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:14:15 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:14:16 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:14:17 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:14:18 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:14:19 PM       0      3.06      0.00      3.06      0.00      0.00     93.88
10:14:20 PM       0     29.29      0.00     62.63      0.00      0.00      8.08
10:14:21 PM       0     30.00      0.00     69.00      0.00      0.00      1.00
10:14:22 PM       0     32.00      0.00     67.00      0.00      0.00      1.00
10:14:23 PM       0     33.00      0.00     66.00      0.00      0.00      1.00
10:14:24 PM       0     35.35      0.00     63.64      0.00      0.00      1.01
10:14:25 PM       0     32.67      0.00     66.34      0.00      0.00      0.99
10:14:26 PM       0     31.31      0.00     67.68      0.00      0.00      1.01
10:14:27 PM       0     34.00      0.00     65.00      0.00      0.00      1.00
10:14:28 PM       0     34.34      0.00     65.66      0.00      0.00      0.00
10:14:29 PM       0     32.67      0.00     66.34      0.00      0.00      0.99
10:14:30 PM       0     34.00      0.00     65.00      0.00      0.00      1.00
10:14:31 PM       0     32.00      0.00     67.00      0.00      0.00      1.00
10:14:32 PM       0     33.00      0.00     66.00      0.00      0.00      1.00
10:14:33 PM       0     32.67      0.00     66.34      0.00      0.00      0.99
10:14:34 PM       0     31.31      0.00     67.68      0.00      0.00      1.01
10:14:35 PM       0     32.00      0.00     67.00      0.00      0.00      1.00
10:14:36 PM       0     33.00      0.00     66.00      0.00      0.00      1.00
10:14:37 PM       0     34.00      0.00     65.00      0.00      0.00      1.00
10:14:38 PM       0     33.33      0.00     65.66      0.00      0.00      1.01
10:14:39 PM       0     31.37      0.00     67.65      0.00      0.00      0.98
10:14:40 PM       0     31.31      0.00     67.68      0.00      0.00      1.01
10:14:41 PM       0     32.67      0.00     66.34      0.00      0.00      0.99
10:14:42 PM       0     30.00      0.00     69.00      0.00      0.00      1.00
10:14:43 PM       0     33.00      0.00     66.00      0.00      0.00      1.00
10:14:44 PM       0     32.00      0.00     68.00      0.00      0.00      0.00
10:14:45 PM       0     32.32      0.00     66.67      0.00      0.00      1.01
10:14:46 PM       0     37.00      0.00     62.00      0.00      0.00      1.00
10:14:47 PM       0     30.69      0.00     68.32      0.00      0.00      0.99
10:14:48 PM       0     32.32      0.00     66.67      0.00      0.00      1.01
10:14:49 PM       0     33.00      0.00     66.00      0.00      0.00      1.00
10:14:50 PM       0     32.32      0.00     66.67      0.00      0.00      1.01
10:14:51 PM       0     33.00      0.00     66.00      0.00      0.00      1.00
10:14:52 PM       0     36.00      0.00     63.00      0.00      0.00      1.00
10:14:53 PM       0     33.66      0.00     65.35      0.00      0.00      0.99
10:14:54 PM       0     33.66      0.00     65.35      0.00      0.00      0.99
10:14:55 PM       0     30.30      0.00     68.69      0.00      0.00      1.01
10:14:56 PM       0     33.00      0.00     66.00      0.00      0.00      1.00
10:14:57 PM       0     33.00      0.00     66.00      0.00      0.00      1.00
10:14:58 PM       0     35.00      0.00     64.00      0.00      0.00      1.00
10:14:59 PM       0     34.00      0.00     65.00      0.00      0.00      1.00
10:15:00 PM       0     33.33      0.00     66.67      0.00      0.00      0.00
10:15:01 PM       0     31.68      0.00     67.33      0.00      0.00      0.99
10:15:02 PM       0     33.66      0.00     65.35      0.00      0.00      0.99
10:15:03 PM       0     32.00      0.00     67.00      0.00      0.00      1.00
10:15:04 PM       0     35.00      0.00     64.00      0.00      0.00      1.00
10:15:05 PM       0     34.00      0.00     65.00      0.00      0.00      1.00
10:15:06 PM       0     35.35      0.00     64.65      0.00      0.00      0.00
10:15:07 PM       0     32.67      0.00     66.34      0.00      0.00      0.99
10:15:08 PM       0     34.34      0.00     64.65      0.00      0.00      1.01
10:15:09 PM       0     35.64      0.00     63.37      0.00      0.00      0.99
10:15:10 PM       0     32.00      0.00     67.00      0.00      0.00      1.00
10:15:11 PM       0     31.00      0.00     67.00      0.00      0.00      2.00
10:15:12 PM       0     34.34      0.00     64.65      0.00      0.00      1.01
10:15:13 PM       0     35.00      0.00     64.00      0.00      0.00      1.00
10:15:14 PM       0     29.00      0.00     70.00      0.00      0.00      1.00
10:15:15 PM       0     32.00      0.00     66.00      0.00      0.00      2.00
10:15:16 PM       0     33.00      0.00     66.00      0.00      0.00      1.00
10:15:17 PM       0     31.31      0.00     67.68      0.00      0.00      1.01
10:15:18 PM       0     34.00      0.00     65.00      0.00      0.00      1.00
10:15:19 PM       0     31.00      0.00     68.00      0.00      0.00      1.00
10:15:20 PM       0     32.67      0.00     66.34      0.00      0.00      0.99
10:15:21 PM       0     34.00      0.00     65.00      0.00      0.00      1.00
10:15:22 PM       0     36.00      0.00     63.00      0.00      0.00      1.00
10:15:23 PM       0     32.00      0.00     68.00      0.00      0.00      0.00
10:15:24 PM       0     32.67      0.00     66.34      0.00      0.00      0.99
10:15:25 PM       0     31.31      0.00     67.68      0.00      0.00      1.01
10:15:26 PM       0     33.00      0.00     66.00      0.00      0.00      1.00
10:15:27 PM       0     33.00      0.00     66.00      0.00      0.00      1.00
10:15:28 PM       0     33.33      0.00     64.71      0.00      0.00      1.96
10:15:29 PM       0     34.34      0.00     65.66      0.00      0.00      0.00
10:15:30 PM       0     32.67      0.00     65.35      0.00      0.00      1.98
10:15:31 PM       0     34.34      0.00     64.65      0.00      0.00      1.01
10:15:32 PM       0     34.00      0.00     65.00      0.00      0.00      1.00
10:15:33 PM       0     33.00      0.00     66.00      0.00      0.00      1.00
10:15:34 PM       0     30.00      0.00     69.00      0.00      0.00      1.00
10:15:35 PM       0     34.65      0.00     64.36      0.00      0.00      0.99
10:15:36 PM       0     36.36      0.00     62.63      0.00      0.00      1.01
