Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

06:54:23 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:54:24 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:54:25 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:54:26 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:54:27 AM       0      5.94      0.00     28.71      0.00      0.00     65.35
06:54:28 AM       0     11.46      0.00     66.67      0.00      0.00     21.88
06:54:29 AM       0     10.53      0.00     61.05      0.00      0.00     28.42
06:54:30 AM       0     10.10      0.00     48.48      0.00      0.00     41.41
06:54:31 AM       0     11.43      0.00     49.52      0.00      0.00     39.05
06:54:32 AM       0     10.20      0.00     47.96      0.00      0.00     41.84
06:54:33 AM       0     10.20      0.00     48.98      0.00      0.00     40.82
06:54:34 AM       0      8.60      0.00     48.39      0.00      0.00     43.01
06:54:35 AM       0      7.53      0.00     48.39      0.00      0.00     44.09
06:54:36 AM       0     11.46      0.00     45.83      0.00      0.00     42.71
06:54:37 AM       0     10.99      0.00     45.05      0.00      0.00     43.96
06:54:38 AM       0      1.05      0.00      8.42      0.00      0.00     90.53
06:54:39 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:54:40 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:54:41 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:54:42 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:54:43 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          0      5.41      0.00     26.99      0.00      0.00     67.60
