Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	04/06/2020 	_x86_64_	(48 CPU)

10:43:28 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:43:29 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:43:30 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:43:31 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:43:32 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:43:33 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:43:34 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:43:35 AM       0     83.00      0.00     11.00      0.00      0.00      6.00
10:43:36 AM       0     29.59      0.00     58.16      0.00      0.00     12.24
10:43:37 AM       0      8.42      0.00     86.32      0.00      0.00      5.26
10:43:38 AM       0      9.18      0.00     86.73      0.00      0.00      4.08
10:43:39 AM       0      7.22      0.00     89.69      0.00      0.00      3.09
10:43:40 AM       0      9.18      0.00     86.73      0.00      0.00      4.08
10:43:41 AM       0      8.33      0.00     88.54      0.00      0.00      3.12
10:43:42 AM       0      9.28      0.00     87.63      0.00      0.00      3.09
10:43:43 AM       0      9.09      0.00     87.88      0.00      0.00      3.03
10:43:44 AM       0      7.22      0.00     87.63      0.00      0.00      5.15
10:43:45 AM       0      9.18      0.00     87.76      0.00      0.00      3.06
10:43:46 AM       0     11.22      0.00     85.71      0.00      0.00      3.06
10:43:47 AM       0      9.18      0.00     84.69      0.00      0.00      6.12
10:43:48 AM       0      7.07      0.00     86.87      0.00      0.00      6.06
10:43:49 AM       0     10.31      0.00     83.51      0.00      0.00      6.19
10:43:50 AM       0      9.18      0.00     84.69      0.00      0.00      6.12
10:43:51 AM       0      9.38      0.00     84.38      0.00      0.00      6.25
10:43:52 AM       0      8.16      0.00     85.71      0.00      0.00      6.12
10:43:53 AM       0      7.07      0.00     85.86      0.00      0.00      7.07
10:43:54 AM       0      9.00      0.00     89.00      0.00      0.00      2.00
10:43:55 AM       0      9.09      0.00     87.88      0.00      0.00      3.03
10:43:56 AM       0      8.08      0.00     88.89      0.00      0.00      3.03
10:43:57 AM       0      7.22      0.00     89.69      0.00      0.00      3.09
10:43:58 AM       0      7.22      0.00     88.66      0.00      0.00      4.12
10:43:59 AM       0      8.16      0.00     88.78      0.00      0.00      3.06
10:44:00 AM       0      7.14      0.00     88.78      0.00      0.00      4.08
10:44:01 AM       0      7.29      0.00     89.58      0.00      0.00      3.12
10:44:02 AM       0      8.08      0.00     80.81      0.00      0.00     11.11
10:44:03 AM       0      8.16      0.00     87.76      0.00      0.00      4.08
10:44:04 AM       0      9.00      0.00     88.00      0.00      0.00      3.00
10:44:05 AM       0      9.00      0.00     89.00      0.00      0.00      2.00
10:44:06 AM       0      8.08      0.00     87.88      0.00      0.00      4.04
10:44:07 AM       0      9.28      0.00     87.63      0.00      0.00      3.09
10:44:08 AM       0      8.25      0.00     89.69      0.00      0.00      2.06
10:44:09 AM       0      8.00      0.00     89.00      0.00      0.00      3.00
10:44:10 AM       0     11.00      0.00     86.00      0.00      0.00      3.00
10:44:11 AM       0      9.90      0.00     87.13      0.00      0.00      2.97
10:44:12 AM       0      9.00      0.00     88.00      0.00      0.00      3.00
10:44:13 AM       0      9.00      0.00     88.00      0.00      0.00      3.00
10:44:14 AM       0      8.00      0.00     89.00      0.00      0.00      3.00
10:44:15 AM       0      7.00      0.00     90.00      0.00      0.00      3.00
10:44:16 AM       0      8.08      0.00     88.89      0.00      0.00      3.03
10:44:17 AM       0      8.91      0.00     87.13      0.00      0.00      3.96
10:44:18 AM       0      7.00      0.00     90.00      0.00      0.00      3.00
10:44:19 AM       0      7.00      0.00     90.00      0.00      0.00      3.00
10:44:20 AM       0     10.00      0.00     87.00      0.00      0.00      3.00
10:44:21 AM       0      8.08      0.00     89.90      0.00      0.00      2.02
10:44:22 AM       0      7.92      0.00     89.11      0.00      0.00      2.97
10:44:23 AM       0      9.09      0.00     88.89      0.00      0.00      2.02
10:44:24 AM       0      9.09      0.00     87.88      0.00      0.00      3.03
10:44:25 AM       0      7.92      0.00     88.12      0.00      0.00      3.96
10:44:26 AM       0      9.00      0.00     88.00      0.00      0.00      3.00
10:44:27 AM       0      8.08      0.00     88.89      0.00      0.00      3.03
10:44:28 AM       0      8.08      0.00     87.88      0.00      0.00      4.04
10:44:29 AM       0     10.89      0.00     86.14      0.00      0.00      2.97
10:44:30 AM       0      9.00      0.00     88.00      0.00      0.00      3.00
10:44:31 AM       0      9.09      0.00     88.89      0.00      0.00      2.02
10:44:32 AM       0      8.00      0.00     88.00      0.00      0.00      4.00
10:44:33 AM       0      7.07      0.00     89.90      0.00      0.00      3.03
10:44:34 AM       0      7.00      0.00     89.00      0.00      0.00      4.00
10:44:35 AM       0      6.12      0.00     90.82      0.00      0.00      3.06
10:44:36 AM       0      8.00      0.00     88.00      0.00      0.00      4.00
10:44:37 AM       0      7.07      0.00     89.90      0.00      0.00      3.03
10:44:38 AM       0      5.94      0.00     90.10      0.00      0.00      3.96
10:44:39 AM       0      7.00      0.00     89.00      0.00      0.00      4.00
10:44:40 AM       0      8.08      0.00     88.89      0.00      0.00      3.03
10:44:41 AM       0      8.91      0.00     87.13      0.00      0.00      3.96
10:44:42 AM       0     10.10      0.00     86.87      0.00      0.00      3.03
10:44:43 AM       0      7.07      0.00     88.89      0.00      0.00      4.04
10:44:44 AM       0      7.92      0.00     89.11      0.00      0.00      2.97
10:44:45 AM       0      6.93      0.00     89.11      0.00      0.00      3.96
10:44:46 AM       0      7.00      0.00     90.00      0.00      0.00      3.00
10:44:47 AM       0      8.08      0.00     88.89      0.00      0.00      3.03
10:44:48 AM       0      7.92      0.00     88.12      0.00      0.00      3.96
10:44:49 AM       0      7.92      0.00     88.12      0.00      0.00      3.96
10:44:50 AM       0      8.00      0.00     89.00      0.00      0.00      3.00
10:44:51 AM       0      9.00      0.00     88.00      0.00      0.00      3.00
10:44:52 AM       0      9.00      0.00     88.00      0.00      0.00      3.00
10:44:53 AM       0      9.00      0.00     88.00      0.00      0.00      3.00
10:44:54 AM       0      7.07      0.00     89.90      0.00      0.00      3.03
10:44:55 AM       0      7.84      0.00     89.22      0.00      0.00      2.94
10:44:56 AM       0      8.08      0.00     88.89      0.00      0.00      3.03
10:44:57 AM       0      7.07      0.00     89.90      0.00      0.00      3.03
10:44:58 AM       0      8.91      0.00     88.12      0.00      0.00      2.97
10:44:59 AM       0      9.90      0.00     87.13      0.00      0.00      2.97
10:45:00 AM       0      8.00      0.00     88.00      0.00      0.00      4.00
10:45:01 AM       0      9.00      0.00     89.00      0.00      0.00      2.00
10:45:02 AM       0      8.00      0.00     89.00      0.00      0.00      3.00
10:45:03 AM       0      9.00      0.00     88.00      0.00      0.00      3.00
10:45:04 AM       0      8.91      0.00     87.13      0.00      0.00      3.96
10:45:05 AM       0      8.00      0.00     88.00      0.00      0.00      4.00
10:45:06 AM       0      7.92      0.00     89.11      0.00      0.00      2.97
10:45:07 AM       0      8.08      0.00     88.89      0.00      0.00      3.03
10:45:08 AM       0      8.00      0.00     89.00      0.00      0.00      3.00
10:45:09 AM       0      8.00      0.00     88.00      0.00      0.00      4.00
10:45:10 AM       0      8.08      0.00     88.89      0.00      0.00      3.03
10:45:11 AM       0      9.90      0.00     86.14      0.00      0.00      3.96
10:45:12 AM       0      8.08      0.00     88.89      0.00      0.00      3.03
10:45:13 AM       0      8.00      0.00     89.00      0.00      0.00      3.00
10:45:14 AM       0      8.91      0.00     88.12      0.00      0.00      2.97
