Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	04/05/2020 	_x86_64_	(48 CPU)

06:35:13 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:35:14 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:35:15 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:35:16 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:35:17 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:35:18 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:35:19 AM       0      8.08      0.00     14.14      0.00      0.00     77.78
06:35:20 AM       0     31.00      0.00     67.00      0.00      0.00      2.00
06:35:21 AM       0     29.00      0.00     67.00      0.00      0.00      4.00
06:35:22 AM       0     30.30      0.00     64.65      0.00      0.00      5.05
06:35:23 AM       0     27.27      0.00     68.69      0.00      0.00      4.04
06:35:24 AM       0     26.00      0.00     70.00      0.00      0.00      4.00
06:35:25 AM       0     33.33      0.00     62.63      0.00      0.00      4.04
06:35:26 AM       0     28.71      0.00     66.34      0.00      0.00      4.95
06:35:27 AM       0     31.31      0.00     64.65      0.00      0.00      4.04
06:35:28 AM       0     29.70      0.00     65.35      0.00      0.00      4.95
06:35:29 AM       0     29.29      0.00     66.67      0.00      0.00      4.04
06:35:30 AM       0     31.00      0.00     65.00      0.00      0.00      4.00
06:35:31 AM       0     29.41      0.00     65.69      0.00      0.00      4.90
06:35:32 AM       0     30.00      0.00     66.00      0.00      0.00      4.00
06:35:33 AM       0     31.00      0.00     65.00      0.00      0.00      4.00
06:35:34 AM       0     31.31      0.00     64.65      0.00      0.00      4.04
06:35:35 AM       0     27.72      0.00     67.33      0.00      0.00      4.95
06:35:36 AM       0     30.61      0.00     65.31      0.00      0.00      4.08
06:35:37 AM       0     29.29      0.00     66.67      0.00      0.00      4.04
06:35:38 AM       0     31.00      0.00     64.00      0.00      0.00      5.00
06:35:39 AM       0     28.00      0.00     66.00      0.00      0.00      6.00
06:35:40 AM       0     31.00      0.00     65.00      0.00      0.00      4.00
06:35:41 AM       0     30.00      0.00     66.00      0.00      0.00      4.00
06:35:42 AM       0     29.29      0.00     65.66      0.00      0.00      5.05
06:35:43 AM       0     30.61      0.00     65.31      0.00      0.00      4.08
06:35:44 AM       0     30.30      0.00     65.66      0.00      0.00      4.04
06:35:45 AM       0     30.69      0.00     65.35      0.00      0.00      3.96
06:35:46 AM       0     29.59      0.00     66.33      0.00      0.00      4.08
06:35:47 AM       0     30.69      0.00     64.36      0.00      0.00      4.95
06:35:48 AM       0     29.00      0.00     67.00      0.00      0.00      4.00
06:35:49 AM       0     29.70      0.00     64.36      0.00      0.00      5.94
06:35:50 AM       0     30.30      0.00     64.65      0.00      0.00      5.05
06:35:51 AM       0     32.99      0.00     62.89      0.00      0.00      4.12
06:35:52 AM       0     26.73      0.00     68.32      0.00      0.00      4.95
06:35:53 AM       0     31.68      0.00     64.36      0.00      0.00      3.96
06:35:54 AM       0     29.29      0.00     66.67      0.00      0.00      4.04
06:35:55 AM       0     33.00      0.00     63.00      0.00      0.00      4.00
06:35:56 AM       0     30.00      0.00     65.00      0.00      0.00      5.00
06:35:57 AM       0     34.00      0.00     62.00      0.00      0.00      4.00
06:35:58 AM       0     27.27      0.00     68.69      0.00      0.00      4.04
06:35:59 AM       0     31.00      0.00     64.00      0.00      0.00      5.00
06:36:00 AM       0     32.00      0.00     64.00      0.00      0.00      4.00
06:36:01 AM       0     29.29      0.00     66.67      0.00      0.00      4.04
06:36:02 AM       0     32.67      0.00     63.37      0.00      0.00      3.96
06:36:03 AM       0     30.30      0.00     64.65      0.00      0.00      5.05
06:36:04 AM       0     29.41      0.00     65.69      0.00      0.00      4.90
06:36:05 AM       0     29.59      0.00     66.33      0.00      0.00      4.08
06:36:06 AM       0     32.00      0.00     64.00      0.00      0.00      4.00
06:36:07 AM       0     30.69      0.00     64.36      0.00      0.00      4.95
06:36:08 AM       0     31.00      0.00     65.00      0.00      0.00      4.00
06:36:09 AM       0     30.00      0.00     65.00      0.00      0.00      5.00
06:36:10 AM       0     30.69      0.00     64.36      0.00      0.00      4.95
06:36:11 AM       0     30.30      0.00     65.66      0.00      0.00      4.04
06:36:12 AM       0     30.00      0.00     66.00      0.00      0.00      4.00
06:36:13 AM       0     29.00      0.00     66.00      0.00      0.00      5.00
06:36:14 AM       0     27.72      0.00     67.33      0.00      0.00      4.95
06:36:15 AM       0     30.61      0.00     64.29      0.00      0.00      5.10
06:36:16 AM       0     27.00      0.00     69.00      0.00      0.00      4.00
06:36:17 AM       0     31.00      0.00     65.00      0.00      0.00      4.00
06:36:18 AM       0     28.71      0.00     66.34      0.00      0.00      4.95
06:36:19 AM       0     28.28      0.00     66.67      0.00      0.00      5.05
06:36:20 AM       0     30.00      0.00     66.00      0.00      0.00      4.00
06:36:21 AM       0     31.00      0.00     64.00      0.00      0.00      5.00
06:36:22 AM       0     29.00      0.00     67.00      0.00      0.00      4.00
06:36:23 AM       0     31.00      0.00     64.00      0.00      0.00      5.00
06:36:24 AM       0     31.00      0.00     65.00      0.00      0.00      4.00
06:36:25 AM       0     30.00      0.00     65.00      0.00      0.00      5.00
06:36:26 AM       0     31.00      0.00     65.00      0.00      0.00      4.00
06:36:27 AM       0     30.30      0.00     65.66      0.00      0.00      4.04
06:36:28 AM       0     29.00      0.00     66.00      0.00      0.00      5.00
06:36:29 AM       0     30.61      0.00     65.31      0.00      0.00      4.08
06:36:30 AM       0     31.68      0.00     63.37      0.00      0.00      4.95
06:36:31 AM       0     29.29      0.00     66.67      0.00      0.00      4.04
06:36:32 AM       0     30.30      0.00     65.66      0.00      0.00      4.04
06:36:33 AM       0     32.00      0.00     64.00      0.00      0.00      4.00
06:36:34 AM       0     29.00      0.00     67.00      0.00      0.00      4.00
06:36:35 AM       0     32.65      0.00     62.24      0.00      0.00      5.10
06:36:36 AM       0     29.00      0.00     67.00      0.00      0.00      4.00
06:36:37 AM       0     28.43      0.00     67.65      0.00      0.00      3.92
06:36:38 AM       0     29.29      0.00     66.67      0.00      0.00      4.04
06:36:39 AM       0     28.71      0.00     66.34      0.00      0.00      4.95
06:36:40 AM       0     29.00      0.00     67.00      0.00      0.00      4.00
06:36:41 AM       0     28.00      0.00     68.00      0.00      0.00      4.00
06:36:42 AM       0     29.70      0.00     65.35      0.00      0.00      4.95
