Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

07:18:51 AM    proc/s   cswch/s
07:18:52 AM      0.00    481.00
07:18:53 AM      0.00    542.00
07:18:54 AM      0.00    502.00
07:18:55 AM      0.00   5049.00
07:18:56 AM      0.00  12288.00
07:18:57 AM      0.00  12615.00
07:18:58 AM      0.00  12739.00
07:18:59 AM      0.00  12516.00
07:19:00 AM      0.00  13139.00
07:19:01 AM      0.00  12525.00
07:19:02 AM      0.00  12453.00
07:19:03 AM      0.00  12961.00
07:19:04 AM      0.00  12799.00
07:19:05 AM      0.00  12688.00
07:19:06 AM      0.00   7223.00
07:19:07 AM      0.00    634.00
07:19:08 AM      0.00    568.00
07:19:09 AM      0.00    602.00
07:19:10 AM      0.00    547.00
07:19:11 AM      0.00    494.00
Average:         0.00   7168.25
