Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:55:13 PM    proc/s   cswch/s
08:55:14 PM      0.00    553.00
08:55:15 PM      0.00    606.00
08:55:16 PM      0.00    591.00
08:55:17 PM      0.00   2479.00
08:55:18 PM      0.00  12825.00
08:55:19 PM      0.00  12709.00
08:55:20 PM      1.00  13847.00
08:55:21 PM      0.00  12821.00
08:55:22 PM      0.00  11999.00
08:55:23 PM      0.00  12049.00
08:55:24 PM      0.00  12127.00
08:55:25 PM      0.00  12560.00
08:55:26 PM      0.00  12422.00
08:55:27 PM      0.00  11861.00
08:55:28 PM      0.00   2849.00
08:55:29 PM      0.00    598.00
08:55:30 PM      0.00    578.00
08:55:31 PM      0.00    477.00
08:55:32 PM      0.00    464.00
08:55:33 PM      0.00    448.00
Average:         0.05   6743.15
