Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

01:21:27 AM    proc/s   cswch/s
01:21:28 AM      0.00    663.00
01:21:29 AM      0.00    513.00
01:21:30 AM      0.00    490.00
01:21:31 AM      0.00    484.00
01:21:32 AM      0.00    604.00
01:21:33 AM      0.00    630.00
01:21:34 AM      0.00    470.00
01:21:35 AM      0.00    488.00
01:21:36 AM      0.00    540.00
01:21:37 AM      0.00    522.00
01:21:38 AM      0.00    639.00
01:21:39 AM      0.00    507.00
01:21:40 AM      0.00    474.00
01:21:41 AM      0.00    467.00
01:21:42 AM      0.00    617.00
01:21:43 AM      0.00    599.00
01:21:44 AM      0.00    564.00
01:21:45 AM      0.00    520.00
01:21:46 AM      0.00    553.00
01:21:47 AM      0.00    502.00
Average:         0.00    542.30
