Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/08/2020 	_x86_64_	(48 CPU)

08:13:24 AM    proc/s   cswch/s
08:13:25 AM      0.00    619.00
08:13:26 AM      0.00    454.00
08:13:27 AM      0.00    415.00
08:13:28 AM      0.00    434.00
08:13:29 AM      0.00    409.00
08:13:30 AM      0.00    486.00
08:13:31 AM      0.00    476.00
08:13:32 AM      0.00    487.00
08:13:33 AM      0.00    516.00
08:13:34 AM      0.00    521.00
08:13:35 AM     12.00   1881.00
08:13:36 AM      0.00    600.00
08:13:37 AM      0.00    549.00
08:13:38 AM      0.00    626.00
08:13:39 AM      0.00    599.00
08:13:40 AM      0.00    635.00
08:13:41 AM      0.00    618.00
08:13:42 AM      0.00    487.00
08:13:43 AM      0.00    553.00
08:13:44 AM      0.00    463.00
Average:         0.60    591.40
