Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/21/2020 	_x86_64_	(48 CPU)

09:06:44 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:06:45 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
09:06:46 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
09:06:47 AM       0     96.00      0.00      4.00      0.00      0.00      0.00
09:06:48 AM       0     87.00      0.00     13.00      0.00      0.00      0.00
09:06:49 AM       0     88.00      0.00     12.00      0.00      0.00      0.00
09:06:50 AM       0     87.00      0.00     13.00      0.00      0.00      0.00
09:06:51 AM       0     90.00      0.00     10.00      0.00      0.00      0.00
09:06:52 AM       0     88.00      0.00     12.00      0.00      0.00      0.00
09:06:53 AM       0     88.00      0.00     12.00      0.00      0.00      0.00
09:06:54 AM       0     87.13      0.00     12.87      0.00      0.00      0.00
09:06:55 AM       0     86.87      0.00     13.13      0.00      0.00      0.00
09:06:56 AM       0     87.00      0.00     13.00      0.00      0.00      0.00
09:06:57 AM       0     88.00      0.00     12.00      0.00      0.00      0.00
09:06:58 AM       0     88.00      0.00     12.00      0.00      0.00      0.00
09:06:59 AM       0     87.00      0.00     13.00      0.00      0.00      0.00
09:07:00 AM       0     89.00      0.00     11.00      0.00      0.00      0.00
09:07:01 AM       0     87.00      0.00     13.00      0.00      0.00      0.00
09:07:02 AM       0     92.00      0.00      8.00      0.00      0.00      0.00
09:07:03 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
09:07:04 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
Average:          0     90.80      0.00      9.20      0.00      0.00      0.00
