CPU: Intel Skylake microarchitecture, speed 2.701e+06 MHz (estimated)
Counted cpu_clk_unhalted events () with a unit mask of 0x00 (Core cycles when at least one thread on the physical core is not in halt state) count 2100000
samples  %        image name               app name                 symbol name
75228    13.1895  server                   server                   tbb::internal::machine_load_store<long, 8ul>::load_with_acquire(long const volatile&)
64192    11.2546  server                   server                   tbb::strict_ppl::internal::concurrent_queue_base_v3<queue_task>::internal_size() const
44970     7.8844  server                   server                   unsigned long tbb::internal::atomic_impl<unsigned long>::to_value<unsigned long>(tbb::internal::atomic_impl<unsigned long>::converter<unsigned long>::bits_type)
41451     7.2675  server                   server                   tbb::internal::atomic_impl<unsigned long>::operator unsigned long() const volatile
35321     6.1927  server                   server                   tbb::internal::atomic_impl<unsigned long>::converter<unsigned long const volatile>::bits_type& tbb::internal::atomic_impl<unsigned long>::to_bits_ref<unsigned long const volatile>(unsigned long const volatile&)
33972     5.9562  libc-2.17.so             libc-2.17.so             __memcmp_sse4_1
29578     5.1858  server                   server                   tbb::internal::atomic_impl<unsigned long>::ptr_converter<unsigned long const volatile*>::ptr_converter(unsigned long const volatile*)
26738     4.6879  server                   server                   long tbb::internal::__TBB_load_with_acquire<long>(long const volatile&)
25306     4.4368  server                   server                   page::linear_search(entry_key_t)
14159     2.4824  server                   server                   thread_pool_task_handler(void*)
9652      1.6923  server                   server                   UNALIGNED_LOAD64(char const*)
8889      1.5585  server                   server                   btree::btree_insert(int, entry_key_t&, char*)
8354      1.4647  libc-2.17.so             libc-2.17.so             __memcpy_ssse3_back
7617      1.3355  server                   server                   memmove_movnt4x64b(char*, char const*)
6552      1.1487  libpthread-2.17.so       libpthread-2.17.so       pthread_mutex_lock
6384      1.1193  server                   server                   hash_table::insert(int, unsigned char*, unsigned long)
6319      1.1079  server                   server                   entry_key_t::operator<(entry_key_t&)
6033      1.0577  server                   server                   hash_table::search(int, unsigned char*)
5421      0.9504  server                   server                   tbb::internal::atomic_impl<unsigned long>::converter<unsigned long>::converter()
5280      0.9257  server                   server                   tbb::strict_ppl::concurrent_queue<queue_task, tbb::cache_aligned_allocator<queue_task> >::unsafe_size() const
4514      0.7914  server                   server                   __TBB_machine_fetchadd8(void volatile*, long)
4102      0.7192  server                   server                   page::store(int, btree*, char*, entry_key_t, char*, bool, bool, page*)
3759      0.6591  server                   server                   HashLen33to64(char const*, unsigned long)
3345      0.5865  server                   server                   page::insert_key(entry_key_t, char*, int*, bool, bool)
3101      0.5437  libjemalloc.so.2         libjemalloc.so.2         free
3098      0.5432  server                   server                   tbb::strict_ppl::internal::micro_queue<queue_task>::pop(void*, unsigned long, tbb::strict_ppl::internal::concurrent_queue_base_v3<queue_task>&)
3029      0.5311  libxul.so                libxul.so                /usr/lib64/firefox/libxul.so
2650      0.4646  server                   server                   page::count()
2490      0.4366  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    event_process_active_single_queue
2258      0.3959  server                   server                   entry_key_t::operator=(entry_key_t&)
2218      0.3889  no-vmlinux               no-vmlinux               /no-vmlinux
2008      0.3521  server                   server                   __TBB_machine_cmpswp1(void volatile*, signed char, signed char)
1956      0.3429  server                   server                   __TBB_machine_cmpswp8(void volatile*, long, long)
1593      0.2793  server                   server                   Fetch64(char const*)
1571      0.2754  server                   server                   Hash128to64(std::pair<unsigned long, unsigned long> const&)
1496      0.2623  libjemalloc.so.2         libjemalloc.so.2         malloc
1490      0.2612  server                   server                   tbb::strict_ppl::internal::micro_queue<queue_task>::assign_and_destroy_item(void*, tbb::strict_ppl::internal::concurrent_queue_rep_base::page&, unsigned long)
1482      0.2598  server                   server                   entry_key_t::operator>=(entry_key_t&)
1346      0.2360  server                   server                   read_cb(bufferevent*, void*)
1319      0.2313  server                   server                   tbb::strict_ppl::internal::micro_queue<queue_task>::push(void const*, unsigned long, tbb::strict_ppl::internal::concurrent_queue_base_v3<queue_task>&, void (*)(queue_task*, void const*))
1306      0.2290  libpthread-2.17.so       libpthread-2.17.so       pthread_mutex_unlock
1205      0.2113  libc-2.17.so             libc-2.17.so             __libc_disable_asynccancel
1190      0.2086  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    event_del_nolock_
1151      0.2018  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evmap_io_del_
1150      0.2016  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evbuffer_drain
1147      0.2011  server                   server                   btree::btree_insert_internal(int, char*, entry_key_t&, char*, unsigned int)
1133      0.1986  server                   server                   queue_task::queue_task(int, void**)
1090      0.1911  server                   server                   btree::getNewPage(int, unsigned int)
