Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	02/06/2020 	_x86_64_	(48 CPU)

02:07:05 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:07:06 AM     all      0.00      0.00      0.02      0.00      0.00     99.98
02:07:06 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      25      0.00      0.00      1.00      0.00      0.00     99.00
02:07:06 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      31      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      32      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      33      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      34      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      35      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      36      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      37      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      38      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      39      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      40      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      41      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      42      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      43      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      44      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      45      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      46      0.00      0.00      0.00      0.00      0.00    100.00
02:07:06 AM      47      0.00      0.00      0.00      0.00      0.00    100.00

02:07:06 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:07:07 AM     all      0.00      0.00      0.02      0.00      0.00     99.98
02:07:07 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM       2      0.00      0.00      0.99      0.00      0.00     99.01
02:07:07 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      25      0.99      0.00      0.99      0.00      0.00     98.02
02:07:07 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      31      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      32      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      33      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      34      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      35      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      36      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      37      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      38      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      39      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      40      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      41      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      42      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      43      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      44      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      45      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      46      0.00      0.00      0.00      0.00      0.00    100.00
02:07:07 AM      47      0.00      0.00      0.00      0.00      0.00    100.00

02:07:07 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:07:08 AM     all      0.27      0.00      1.36      0.00      0.00     98.37
02:07:08 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM       1      1.01      0.00      5.05      0.00      0.00     93.94
02:07:08 AM       2      2.00      0.00      7.00      0.00      0.00     91.00
02:07:08 AM       3      1.02      0.00      6.12      0.00      0.00     92.86
02:07:08 AM       4      0.99      0.00      7.92      0.00      0.00     91.09
02:07:08 AM       5      1.01      0.00      6.06      0.00      0.00     92.93
02:07:08 AM       6      1.01      0.00      6.06      0.00      0.00     92.93
02:07:08 AM       7      1.00      0.00      7.00      0.00      0.00     92.00
02:07:08 AM       8      1.00      0.00      7.00      0.00      0.00     92.00
02:07:08 AM       9      1.00      0.00      7.00      0.00      0.00     92.00
02:07:08 AM      10      1.02      0.00      6.12      0.00      0.00     92.86
02:07:08 AM      11      0.00      0.00      0.99      0.00      0.00     99.01
02:07:08 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      25      0.00      0.00      1.00      0.00      0.00     99.00
02:07:08 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      31      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      32      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      33      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      34      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      35      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      36      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      37      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      38      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      39      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      40      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      41      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      42      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      43      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      44      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      45      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      46      0.00      0.00      0.00      0.00      0.00    100.00
02:07:08 AM      47      0.00      0.00      0.00      0.00      0.00    100.00

02:07:08 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:07:09 AM     all      1.07      0.00      5.16      0.06      0.00     93.71
02:07:09 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM       1      3.06      0.00     23.47      0.00      0.00     73.47
02:07:09 AM       2      5.05      0.00     26.26      0.00      0.00     68.69
02:07:09 AM       3      5.15      0.00     24.74      0.00      0.00     70.10
02:07:09 AM       4      5.15      0.00     25.77      0.00      0.00     69.07
02:07:09 AM       5      5.26      0.00     24.21      0.00      0.00     70.53
02:07:09 AM       6      5.26      0.00     24.21      0.00      0.00     70.53
02:07:09 AM       7      5.10      0.00     26.53      0.00      0.00     68.37
02:07:09 AM       8      6.25      0.00     23.96      0.00      0.00     69.79
02:07:09 AM       9      7.00      0.00     25.00      0.00      0.00     68.00
02:07:09 AM      10      5.05      0.00     26.26      0.00      0.00     68.69
02:07:09 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      25      0.00      0.00      1.01      0.00      0.00     98.99
02:07:09 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      31      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      32      0.00      0.00      0.00      3.03      0.00     96.97
02:07:09 AM      33      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      34      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      35      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      36      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      37      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      38      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      39      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      40      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      41      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      42      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      43      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      44      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      45      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      46      0.00      0.00      0.00      0.00      0.00    100.00
02:07:09 AM      47      0.00      0.00      0.00      0.00      0.00    100.00

02:07:09 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:07:10 AM     all      1.01      0.00      5.23      0.00      0.00     93.76
02:07:10 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM       1      4.00      0.00     24.00      0.00      0.00     72.00
02:07:10 AM       2      4.12      0.00     26.80      0.00      0.00     69.07
02:07:10 AM       3      5.10      0.00     26.53      0.00      0.00     68.37
02:07:10 AM       4      5.05      0.00     26.26      0.00      0.00     68.69
02:07:10 AM       5      5.15      0.00     24.74      0.00      0.00     70.10
02:07:10 AM       6      5.10      0.00     25.51      0.00      0.00     69.39
02:07:10 AM       7      4.08      0.00     27.55      0.00      0.00     68.37
02:07:10 AM       8      6.12      0.00     24.49      0.00      0.00     69.39
02:07:10 AM       9      5.26      0.00     24.21      0.00      0.00     70.53
02:07:10 AM      10      5.15      0.00     25.77      0.00      0.00     69.07
02:07:10 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      25      0.00      0.00      1.00      0.00      0.00     99.00
02:07:10 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      31      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      32      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      33      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      34      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      35      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      36      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      37      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      38      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      39      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      40      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      41      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      42      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      43      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      44      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      45      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      46      0.00      0.00      0.00      0.00      0.00    100.00
02:07:10 AM      47      0.00      0.00      0.00      0.00      0.00    100.00

02:07:10 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:07:11 AM     all      0.94      0.00      5.12      0.00      0.00     93.94
02:07:11 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:07:11 AM       1      4.12      0.00     22.68      0.00      0.00     73.20
02:07:11 AM       2      5.15      0.00     25.77      0.00      0.00     69.07
02:07:11 AM       3      4.21      0.00     24.21      0.00      0.00     71.58
02:07:11 AM       4      6.32      0.00     22.11      0.00      0.00     71.58
